Sample	RawRead	CleanRead	MetagenomicRead	SubsamplePercent	AssemblySpeciesRichness	SpeciesRichness	Hill_0	Hill_1	Hill_2
PGcomcol4b_Bimp	54955553	45805759	4618023	0.4	71	76	6238.0	1498.627551922443	821.2838335415086
PGcomcol4b_Bimp	54955553	45805759	4618023	0.5	77	83	6771.0	1514.7040610237243	828.8768105471236
PGcomcol4b_Bimp	54955553	45805759	4618023	0.6	81	85	6795.0	1512.5764415153358	825.9311297045439
PGcomcol4b_Bimp	54955553	45805759	4618023	0.7	84	88	6930.0	1511.2150101227548	825.4636702165992
PGcomcol4b_Bimp	54955553	45805759	4618023	0.8	81	84	7047.0	1511.3952985509059	824.4774867503572
PGcomcol4b_Bimp	54955553	45805759	4618023	0.9	80	84	7183.0	1513.805731105624	824.2667876518283
PGcomcol4b_Bimp	54955553	45805759	4618023	1	83	87	7288.0	1514.3719559337824	824.598036470915
PGnos_high_hv13-1	1104861	842095	665507	0.1	6	31	1392.0	989.9259013325797	730.0062888433935
PGnos_high_hv13-1	1104861	842095	665507	0.2	8	31	1965.0	1246.1359406831152	830.9926204847965
PGnos_high_hv13-1	1104861	842095	665507	0.3	8	31	2308.0	1355.2213830610035	880.1520595096126
PGnos_high_hv13-1	1104861	842095	665507	0.4	9	33	2506.0	1403.1935688454776	894.6126383152905
PGnos_high_hv13-1	1104861	842095	665507	0.5	10	32	2758.0	1460.605128359758	913.5277061807209
PGnos_high_hv13-1	1104861	842095	665507	0.6	11	34	2885.0	1496.5091525191651	932.434317388582
PGnos_high_hv13-1	1104861	842095	665507	0.7	11	32	3053.0	1538.9828363907143	956.1533480285009
PGnos_high_hv13-1	1104861	842095	665507	0.8	12	36	3130.0	1527.9711798132887	941.0320297367095
PGnos_high_hv13-1	1104861	842095	665507	0.9	13	36	3238.0	1555.152490701037	946.8389428114708
PGnos_high_hv13-1	1104861	842095	665507	1	17	39	3341.0	1565.168531460231	949.4892059676931
PGnos_high_hv13-2	56836899	35282101	10413704	0.1	57	64	5970.0	1784.053073888198	1027.2065871352077
PGnos_high_hv13-2	56836899	35282101	10413704	0.2	79	79	6850.0	1794.3114082343636	1032.49012531772
PGnos_high_hv13-2	56836899	35282101	10413704	0.3	102	103	7492.0	1797.514816615365	1032.4906763154117
PGnos_high_hv13-2	56836899	35282101	10413704	0.4	104	104	7940.0	1799.83605777482	1030.4645681765812
PGnos_high_hv13-2	56836899	35282101	10413704	0.5	121	121	8290.0	1802.6048709327802	1032.586566724628
PGnos_high_hv13-2	56836899	35282101	10413704	0.6	123	123	8579.0	1803.115991190395	1033.4100690898913
PGnos_high_hv13-2	56836899	35282101	10413704	0.7	128	128	8748.0	1802.1768778621927	1032.895113430908
PGnos_high_hv13-2	56836899	35282101	10413704	0.8	149	149	8947.0	1802.0272836950246	1032.1710771020369
PGnos_high_hv13-2	56836899	35282101	10413704	0.9	141	141	9145.0	1803.20471889234	1033.326169309969
PGnos_high_hv13-2	56836899	35282101	10413704	1	144	144	9289.0	1802.6648069773819	1032.629003263369
PGnos_inter_hv15	63159968	45059211	38837759	0.1	34	45	4030.0	1120.0250037271292	607.8570705588245
PGnos_inter_hv15	63159968	45059211	38837759	0.2	56	64	5375.0	1226.2407607824762	672.1746209600899
PGnos_inter_hv15	63159968	45059211	38837759	0.3	60	68	6296.0	1246.9016990913783	678.274342822082
PGnos_inter_hv15	63159968	45059211	38837759	0.4	71	80	6908.0	1261.842246600194	688.5098814745812
PGnos_inter_hv15	63159968	45059211	38837759	0.5	81	89	7559.0	1226.1206061958212	597.961137044028
PGnos_inter_hv15	63159968	45059211	38837759	0.6	81	90	7915.0	1166.6334920563734	635.8531506232489
PGnos_inter_hv15	63159968	45059211	38837759	0.7	77	84	8388.0	1263.2240888478095	620.6020443000527
PGnos_inter_hv15	63159968	45059211	38837759	0.8	71	79	8673.0	1306.7701255038196	684.4958909274136
PGnos_inter_hv15	63159968	45059211	38837759	0.9	80	88	8913.0	1305.2811672490452	670.4835067492337
PGnos_inter_hv15	63159968	45059211	38837759	1	87	97	9046.0	1198.8990817456836	621.1480004284272
PGpollen_fresh	58113227	44466776	17014144	0.1	78	80	5244.0	1727.3181330298764	997.0566382254932
PGpollen_fresh	58113227	44466776	17014144	0.2	120	121	5746.0	1730.8152095407988	998.7832652006138
PGpollen_fresh	58113227	44466776	17014144	0.3	146	146	6149.0	1733.6227867491766	1000.9353157612127
PGpollen_fresh	58113227	44466776	17014144	0.4	157	157	6345.0	1734.2197797095912	1000.8345903438695
PGpollen_fresh	58113227	44466776	17014144	0.5	153	153	6520.0	1733.5991780365785	1001.0525278460573
PGpollen_fresh	58113227	44466776	17014144	0.6	171	171	6577.0	1732.5797801035726	998.8480963075143
PGpollen_fresh	58113227	44466776	17014144	0.7	173	173	6906.0	1734.3280341377986	999.9843070840866
PGpollen_fresh	58113227	44466776	17014144	0.8	181	181	6894.0	1733.3393987514166	999.9662564463854
PGpollen_fresh	58113227	44466776	17014144	0.9	173	173	7004.0	1733.545001595491	1000.0962702171436
PGpollen_fresh	58113227	44466776	17014144	1	179	179	7216.0	1734.6772436845274	1000.205639493158
